[05/06/2026 11:08:39] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 11:19:02] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 11:24:12] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 11:36:50] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 12:35:34] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 12:47:09] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 12:57:00] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 12:58:47] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 12:59:41] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 13:04:28] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 13:17:08] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 13:18:25] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 13:27:21] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 13:28:23] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 13:30:15] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 13:42:06] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 19:25:30] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 19:41:09] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 19:41:20] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 19:54:52] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 20:46:16] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 20:53:46] [INFO] received Windows console close event; shutting log-core down
[05/06/2026 21:00:21] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 07:13:21] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 10:39:46] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 10:44:38] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 10:54:19] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 11:18:32] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 11:26:08] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 11:26:19] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 11:31:48] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 11:32:49] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 11:40:17] [INFO] received Windows console close event; shutting log-core down
[06/06/2026 11:57:18] [INFO] received Windows console close event; shutting log-core down
[08/06/2026 12:35:22] [INFO] received Windows console close event; shutting log-core down
[11/06/2026 17:35:45] [INFO] received Windows console close event; shutting log-core down
[11/06/2026 21:11:31] [INFO] received Windows console close event; shutting log-core down
[11/06/2026 21:16:22] [INFO] received Windows console close event; shutting log-core down
[11/06/2026 21:28:11] [INFO] received Windows console close event; shutting log-core down
[11/06/2026 21:33:25] [INFO] received Windows console close event; shutting log-core down
[13/06/2026 23:33:09] [INFO] received Windows console close event; shutting log-core down
[14/06/2026 14:22:04] [INFO] received Windows console close event; shutting log-core down
[14/06/2026 14:22:47] [INFO] received Windows console close event; shutting log-core down
[14/06/2026 14:28:14] [INFO] received Windows console close event; shutting log-core down
[14/06/2026 19:35:51] [INFO] received Windows console close event; shutting log-core down
[15/06/2026 14:56:43] [INFO] received Windows console close event; shutting log-core down
[15/06/2026 17:19:42] [INFO] received Windows console close event; shutting log-core down
[15/06/2026 18:10:21] [INFO] received Windows console close event; shutting log-core down
[15/06/2026 19:30:19] [INFO] received Windows console close event; shutting log-core down
[15/06/2026 21:27:44] [INFO] received Windows console close event; shutting log-core down
[16/06/2026 00:09:51] [INFO] received Windows console close event; shutting log-core down
[16/06/2026 00:11:41] [INFO] received Windows console close event; shutting log-core down
[16/06/2026 00:55:09] [INFO] received Windows console close event; shutting log-core down
[18/06/2026 16:26:17] [INFO] received Windows console close event; shutting log-core down
[18/06/2026 20:09:10] [INFO] received Windows console close event; shutting log-core down
[18/06/2026 23:33:05] [INFO] received Windows console close event; shutting log-core down
[19/06/2026 15:47:46] [INFO] received Windows console close event; shutting log-core down
[19/06/2026 15:51:44] [INFO] received Windows console close event; shutting log-core down
[19/06/2026 16:21:01] [INFO] received Windows console close event; shutting log-core down
[19/06/2026 17:03:45] [INFO] received Windows console close event; shutting log-core down
[19/06/2026 18:26:03] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 03:38:07] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 03:54:29] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 04:00:46] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 17:38:32] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 18:49:31] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 18:52:38] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 22:45:45] [INFO] received Windows console close event; shutting log-core down
[24/06/2026 23:30:04] [INFO] received Windows console close event; shutting log-core down
[25/06/2026 19:23:16] [INFO] received Windows console close event; shutting log-core down
[28/06/2026 07:35:48] [INFO] received Windows console close event; shutting log-core down
[02/07/2026 08:33:55] [INFO] received Windows console close event; shutting log-core down
[02/07/2026 09:51:19] [INFO] received Windows console close event; shutting log-core down
[03/07/2026 09:49:42] [INFO] received Windows console close event; shutting log-core down
[04/07/2026 08:22:49] [INFO] received Windows console close event; shutting log-core down
[08/07/2026 18:57:41] [INFO] received Windows console close event; shutting log-core down
[08/07/2026 22:37:33] [INFO] received Windows console close event; shutting log-core down
[11/07/2026 12:39:49] [INFO] received Windows console close event; shutting log-core down
[11/07/2026 12:40:40] [INFO] received Windows console close event; shutting log-core down
[11/07/2026 17:02:10] [INFO] received Windows console close event; shutting log-core down
[11/07/2026 17:07:53] [INFO] received Windows console close event; shutting log-core down
[11/07/2026 20:36:30] [INFO] received Windows console close event; shutting log-core down
[12/07/2026 00:13:47] [INFO] received Windows console close event; shutting log-core down
[12/07/2026 21:04:49] [INFO] received Windows console close event; shutting log-core down
[13/07/2026 01:16:36] [INFO] received Windows console close event; shutting log-core down
[13/07/2026 20:41:40] [INFO] received Windows console close event; shutting log-core down
[16/07/2026 02:14:03] [INFO] received Windows console close event; shutting log-core down
[16/07/2026 15:00:15] [INFO] received Windows console close event; shutting log-core down
[18/07/2026 16:47:00] [INFO] received Windows console close event; shutting log-core down
[19/07/2026 02:29:02] [INFO] received Windows console close event; shutting log-core down
[19/07/2026 19:01:12] [INFO] received Windows console close event; shutting log-core down
